speaker,content
タチコマ,バトーさーん。こんなの見つけました。
トグサ,状況から纏めると、サイボーグ化手術後の臓器のラベルを勝手に貼り変えては売り捌いていた、って所か。
草薙,もう一人居た筈ね。
バトー,おー、しぶといな。確保する。
草薙,いや。私に任せなさい。小遣い稼ぎにしては質が悪いわ。こういう手合いは法の手に委ねても、有耶無耶にされるのが落ちよ。ちょっと取っちめてやるわ。
バトー,おほー、おっかねえ。何かあったのか？
トグサ,さあ・・・
バトー,おらあ。お前等は俺が相手をしてやる。
学生B,うわっ、たっ、たす、助けて下さい。臓器だけはお願いします取らないで。
バトー,はあ？
トグサ,あんたの顔を見りゃあ、誰だってマフィアと思うわな・・・ん？
学生A,あ、うぅっ・・・
トグサ,て、おい！俺もかよ・・・
バトー,へへっ。
コキタ,はあ、はあ、はあ・・・ああ！？な、何だ・・・？一体、何なんだ？
コキタ,はあ・・・あうっ・・・！ああ・・・あ！
草薙,見た所全身生身だな。闇市場にばら売りすれば、さぞ高く売れるだろう。
コキタ,まさか・・・お、おい、待ってくれ。いい流通路を知ってるんだ。ボロい商売だぜ。な、手を組まないか？親父に頼めば車も倉庫も用意出来るし、資金にも困らない筈だ。悪い話じゃないだろ？
草薙,お前等の様な青二才と取引をするとでも思うか。そっちの流通路も頂いた上で口封じをする。臓器をばらせば証拠も残らず金にもなる。一石二鳥だ。
コキタ,ま、待ってくれ。わ、分かった、金か？金なら親父に頼めば幾らでも出してくれる。な？い、幾ら欲しいんだ？
草薙,お遊びが過ぎたな。お前等は取り返しの付かない世界に首を突っ込んでしまったんだ。
コキタ,ひいっ！許してよ、もうしないよ！頼む、もう二度としない！頼むよ、勘弁してくれ！
草薙,残念だったな！
コキタ,ひいぃっ！
草薙,こんなに甘くはないぞ・・・
草薙,裏社会には論理が通用しない相手が幾らでもいる。今の内に心を入れ替えろ。お前等には金も学もある。その上五体満足なんだろ？
タチコマ,少佐ー、出られませーん。
草薙,あとで回収に来る迄大人しくしてなさい。こいつ等を警察に引き渡してくるから。
タチコマ,はーい。
タチコマ,あ、バトーさんだ。
トグサ,あ、旦那。なあ、今日の少佐、ちょっと変じゃなかった？
バトー,え？
トグサ,いや、今日の少佐、いつもと少し様子が違った様な気がしてさ。
バトー,少佐、あの少女と同じ年頃で全身義体化したんだ。今回の一件では、色々と思う所もあったんだろう。
トグサ,ふぅん・・・
バトー,まだ何かあんのか？
トグサ,いや、別に。只、世の中には事件に巻き込まれて否応無く臓器移植を迫られる少女もいれば、敢えて自分の臓器を捨ててサイボーグになりたがる社長もいる訳じゃない。
バトー,その狭間で臓器ビジネスが潤い、天然モノにはプレミアが付き、この国の経済も回ってる。宗教的戒律と経済的制約を受けない環境にある者だけが、高性能の義体を手にする事が出来るのさ。9課みたいにな。何だ？搾取する側に回ってる様で、柔なハートが痛むか？
トグサ,そんなんじゃないよ。只、少佐はどっちだったのかなって思っただけさ。
タチコマ,チェックメイト。
トグサ,ああ？ゲームが違うだろ・・・！あ・・・
草薙,なあに？あんた達。バトーはまた筋トレグッズなの？給料で何買おうと勝手だけど、感心出来ない消費癖ね。
バトー,何だよ。お前こそ外面ばっか女ぶってないで、そろそろ男型の義体に変えたらどうだ？パワー出るぜえ、その方が。
草薙,ふん・・・
バトー,やるか？
バトー,へ？お・・・どお！
草薙,無駄にパワーのある相手の力を逆に利用すれば、女性型でも問題ないでしょ？バトーには脳味噌の筋肉を如何なく駆使した、読み応えある報告書を期待してるわ。
トグサ,大丈夫かよ？バトー・・・
バトー,痛くない。
J,それにしても、笑い男が復活した途端に死んだってのはどういう訳？これで僕もリアルタイムフリークスの仲間入りだと思ったのに。
カ,何興奮してるの？今さらそんな事に拘ってる人居ないわよ。馬鹿らしい。
ぐ,馬鹿らしいと言えば、まずあんたのその格好が馬鹿らしいと思うね。
J,だったら、さっさと建設的なテーマを提示しろよ。ふん。
カ,それじゃ、今回の暗殺未遂事件で笑い男が突然復活した理由について、って言うのは？
ぐ,はーい、先生。それは、世の中が相も変わらず退屈で糞ったれだからだと思います。
カ,そんな事は分かってるけど、私が言いたいのは今回の事件と6年前の彼とは、実は別の犯人なんじゃないのかって事なのよ。
ぐ,クックック。彼だって？笑い男が実際に男かどうかも分からないのに？
J,男だよ。僕があるソースから得た情報によると、男に決まってる。それに女だとしたら、笑い男なんて名乗るか？
ベ,待ってください。よ、よく資料を調べて貰うと分かると思うんですけど、彼は自らを笑い男と名乗った事はないんですよ。
J,名乗ったとしても、男だよ！社長誘拐の時の映像、ありゃどう見ても男だぜ。
ぐ,たーんじゅん。義体って可能性もあるのに。
カ,待って。話題がずれてるわよ。今回の事件が、今迄企業脅迫に限っていた彼の犯行スタイルと余りにも違うって事について意見は無いの？確かに今回の事件もマイクロマシン絡みの疑惑からスタートしてはいるけど、行き成り総監暗殺を決行するって言うのは乱暴過ぎって気がしない？
ぐ,うーん。ま、確かに、6年前は秘書や家族の電脳をハックしてメールを送るっていうスタイルから始まったって話だけどね。
J,それじゃあ、今回は偽者って言いたい訳？
カ,その可能性高くない？彼が姿を消してから6年よ。今回の事件はネット上の笑い男ブームに託けた狂言なんじゃない？
ベ,でも、企業脅迫が笑い男の犯行スタイルだと決定している根拠は何ですか？最初の誘拐は乱暴ではなかったんですか？
カ,でも社長誘拐以後は衝動的な犯行は犯していないと思うけど。
J,そうだよな。大体クールじゃないよ、他人を操って暗殺なんて。笑い男って言えば超AI級のハッカーだけど、今迄人死には出していなかった訳だし。ちえっ、面白かったけどやっぱ今回のは偽者か。ま、その方がいいけど。
ぐ,早くもリアルタイムフリークスの称号剥奪されちゃったね。お気の毒。
ベ,じゃあ、笑い男がクールだと考える理由は何ですか？
J,クールに決まってるだろ！あれだけの事をやってのけたのに、違うって言うのかよ？
ベ,別にクールじゃないと言ってる訳じゃないんです。ハッカー行為の手際の良さによってクールさが決まるとしたら、今回の暗殺に使われたと言う遅効性ウイルスは素晴らしい物だったそうですよ。余りに精巧に作られていたから、警察もSPの電脳で発症してからしかワクチンを作る事が出来なかった位ですからね。
カ,確かにそうだわ。しかも警察はその後、ウイルス自体の痕跡すら手に出来なかったって噂だしね。
ぐ,成る程。でも死んじゃったじゃん、犯人。
J,そうだよ。そのウイルス作ったって奴は、誰かに殺された訳だから、やっぱり偽者が現れたが殺されたって事だ。
カ,誰が何の為に？
ぐ,はーい先生。それは秘密結社の陰謀だからです。
J,そういえば、僕があるソースから得た情報によると、今回の事件が発生する以前から、脅迫を受けた企業が殺し屋を雇っていたらしいぜ。
ぐ,それ何処のソース？豚カツ？オイスター？
カ,企業が犯人を消す理由は何？
J,だから、ずっと機会を狙ってたんだって。脅迫や現金要求に対する恨みからさ。それが今回の暗殺予告で足が付いたって訳さ。
ぐ,にしたって、偽者消して何になるんだよ。
カ,そうよ。もし本物だとしても、警察が解析出来なかった相手を見つけて殺すなんて有り得ないわ。
ベ,そ、それこそらしくないです。そんなに簡単に足が付くなんて、クールじゃない。
J,だったら、本物の笑い男によって殺されたってのは？
ぐ,んな訳ないでしょ。警察の言う様に、笑い男複数犯説で仲間割れってのが妥当だろ。
カ,それじゃあ最初の結論に戻ったって事でいいのかしら？今回の事件は6年前の笑い男とは別人が起こしたって事で。
ベ,も、もう一度聞きますが、企業脅迫が笑い男のスタイルだと言う根拠は何ですか？
J,しつこいよお前！だからクールじゃないからだよ！
ベ,でも、よく思い出して見て下さい。一番最初の事件って、そんなにクールだったですか・・・？
J,あ、あっ・・・
ぐ,ふぅ・・・
オ,成る程！そのネタを語るには、やはり原点は外せないね。じゃあちょっと話題を変える意味で、笑い男事件の原点を振り返ってみる事にしよう。
キャスター,2月3日、7時20分になりました。おでかけ天気予報の時間です。みなさん、朝の通勤ご苦労様です。きょう2月3日は、国際博覧会開催迄丁度100日前の日なんです。そこで今朝のおで天ではこんなアンケートを考えてみました。題して、万博に
笑い男,そいつはずるいな！
女,きゃあ！
笑い男,だったら今、あのカメラの前で真実を語ってください！
瀬良野,やめろ。君には撃てんよ。
笑い男,どうかな！？
瀬良野,ぐわっ！
オ,最早見飽きちゃったかもしれないけど、本人と思われる人物が姿を見せたのがこの時一度きりだから、仕方ないよね。
J,ねえ、気がついた？番組のフライングロゴもマークに書き換えられてて。芸が細かいねえ。
ぐ,各地の予報もね。ただそれって、再放送の分から変わったって噂もあるんだよね。
カ,何にしても、これが6年前この国を震撼させた笑い男事件の原点ね。
ぐ,でもさ、今見たら全然クールじゃないじゃん。銃持ってる手だってプルプルしてるし。
J,甘い。何言ってんだよ。そこがかっこいいじゃんか。
カ,ただ、この後に続く連続企業脅迫の手口と較べたら全然無謀よねえ。
ベ,違います。特Aのハッキングテクニックを持ってるにも関わらず、最初は自らの肉体を敢えて危険に晒すと言う無謀とも取れるパフォーマンスが、我々の共感を呼んだんです。彼は搾取型企業の欺瞞を暴こうとしているんだって。
ぐ,深いね。
J,いやそうなんだ。一見稚拙な事件を起こしておきながら、メディア全てにハッキングしてあると言う周到さ。そこが彼の魅力さ。
ぐ,熱いなあ君達。ラブ笑い男って感じ？そんなメッセージ一度も発せられてないのにねえ。
リポーターA,セラノ社に次いで、ジャパン・マイクロ・インダストリーが笑い男によって脅迫された模様です。
リポーターB,大変な事になりました。夥しい数の事務机でしょうか？今度は佐川電子本社への脅迫です。一体どうやってこれだけの数の机を一晩の内に運び出したのでしょうか？これは正に、前例の無い企業テロと言えるでしょう！
TAMON,本物？本物でしょコレ！
大定春,ナノプラント社に電話して下さい。
司会者,薩摩メディテックスって言ったら、九州でも一番の優良企業でしょ？何でそんな所に殺人ウイルスを送り付けるなんて事する訳？
男A,分からん。恐らく夕べの内に庭師ロボットをハッキングしてやったんだろう。出せ！
男B,おい、見ろ！
ぐ,あ、僕マイテル社のミステリーサークルがプリントされたTシャツ持ってる。ククッ。
カ,この後、株価の下落が懸念された被害企業に対して公的資金の導入が決定すると同時に、笑い男は犯行終結宣言を出してネットの闇に消えた。
ぐ,カドヤがスナック菓子の中に笑い男マークが入ってるってやらかして、一瞬株価を上げたりしたって事もあったよね。
ベ,どの企業も株を使って大儲けした連中が居たって噂については、どう思いますか？
カ,そこだけで判断するなら、薩摩メディテックスの件は偽者かも知れない。
ぐ,それは可愛い女の勘って奴？
カ,だったら、他社が脅迫後に辿った株価の変動と、薩摩の物と較べてみたらどう？
ぐ,そういえば、薩摩だけお上からの資金は導入されなかったっけか。
J,成る程。
カ,終結宣言の後で、6社全てが同じ位儲かってたから、気付いてなかったのよ。
ぐ,ま、予告のトーク番組にしても、かなり残念な感じだったしね。それじゃ、あれは局側のやらせって事にけってーい。
カ,でも、改めて事件を振り返ってみると、6年前の事件も結構矛盾してるわよね。これを全て同一犯と考えるのは、やっぱり強引過ぎかしら。
ぐ,結局、複数犯って事なんじゃないの？最初の誘拐と、その後の事件の思想の違いを指摘している評論家も少なくないし。
J,僕は単独犯説を支持したいんだけど。
カ,それは難しくない？
クロマ,今は6年前と今回の犯人が同じかどうかって事を推理しても意味無いわ。事件の全容を解く鍵は、6年前の誘拐と今回の暗殺予告の直後に連鎖的に起こった現象が、何の因子によって引き起こされたのかって事の方にある気がするわ。
オ,おっ、お姉さん、鋭い！
ベ,僕もそう思います。
オ,それじゃあ、こちらでストックしてある当時の映像を見ながら、そいつを検証してみよう。でもその前に、サーバ全体に溜まったキャッシュ上のバックアップデータをデリートするので、ちょっと休憩！
ぐ,ねえ。このマークを考えたって事になってるデザイナーのポール※1が、事件当時任意同行で特捜にあげられたの覚えてる？
カ,自分のデータベースがハッキングされて、デザインが盗まれたって言い続けてた？
J,結果的にデザイナーとして有名になれたのは事実だけどね。僕も尊敬してるし。
カ,それにしても、この事件が当時これだけブームになった理由って、何だったんだろう。
J,分かりそうで分からない謎と、程好いタイミングで供給され続けるセンセーション。
ぐ,たまにはいい事言うね。瀬良野社長が捜査に協力的じゃない所も、その辺をくすぐったっけね。
ベ,笑い男との裏取引を、今も疑われていますしね。でも、僕がこの事件に一番魅かれたのは、やっぱり最初の事件に見て取れる義侠的精神と孤高なヒーローのイメージなんですけどね。
J,あ、僕もそれ。
カ,今度の事件の始まりも、インターセプターの不正使用疑惑の会見場だったけど、それも義侠的精神？
ぐ,そのインターセプターを開発したのは、他でもないセラノ・ゲノミクス社。
ベ,権力との繋がりを感じませんか？
J,やっぱおもしれー！一億総探偵化っていうか、観衆の総並列化が起こる訳だよ。
カ,全てがマイクロマシン業界ぐるみの自作自演で、笑い男は最初から株価操作を目的としたプログラムだった、っていう落ちは？
J,そんなのつまんない。やっぱ笑い男はいるよ。
ぐ,いて欲しいって思っていたいだけなんじゃないの？
J,だけど僕があるソースから得た話では
ぐ,けっ、またソースかよ。
J,この事件によってもたらされた経済効果は約20兆円。それはそれで大した存在意義だと思わない？
ベ,みんな、中々僕の言いたい話に乗ってきてくれないので、僕も独自のソースから得た取って置きのネタを提供します。今回、同時多発した暗殺未遂はナナオ・Aのばら撒いたウイルスによって引き起こされたと言う警察の公式発表は、全部嘘です。
カ,その根拠は？
J,そうだよ。そのネタのソースを明かせよ。
ぐ,まただよ、ソース。ちなみにこの部屋にJ.Dがお出ましになってから今迄何回ソースって言ったでしょう？
クロマ,私もそれには興味があるわね。
ベ,実は僕、あの時間、現場にハッキングを仕掛けてたんです。
J,マジかよ！？じゃあお前も暗殺を考えてたって事？
ベ,ああ、じゃなくて、僕はただ、どんな事が起こるのか知りたくて覗いてただけなんです。だから恐らく、あの39人の暗殺犯もウイルスで操られてたんじゃなくて、自分の意志であそこに行ってたんだろうと思うんです。僕と同じ様なハッカーも沢山いたし、客席の中にもクラックしようとしてた人もいるんじゃないかな。ただ、誰もが何故か失敗してましたけど。
クロマ,貴方、あれを見た？
カ,それが本当なら大変な事よ。
ぐ,最早何も信用出来ません。
J,そっかあ！僕もあの日、式典会場に行こうかなって、一旦は思ったんだよなあ。くっそー。
カ,待って。て事は、実は逮捕された39人の中に笑い男がいたんじゃない？
ベ,それはないと思います。あの時捕まった連中はここに居る人達と同じ、熱狂的ファンか模倣者です。
ぐ,じゃあナナオ・Aの犯行予告に呼応して、奴等はあそこに行ったと。
ベ,それもちょっと違うんです。実は、もう一つ取って置きのネタがあって、あの事件の後、僕、ネットにダイブしていて、ナナオの手によって改竄された彼名義の登録サーバを見つけたんです・・・あれです。
カ,本当だわ。
ベ,気を付けて下さい。攻性防壁が巡らしてありますよ。レベル6迄潜ると、いくつもシミュレーションされた計画が残されています。再び大手マイクロマシンメーカを脅迫するとか、今度はサイボーグ食品企業を狙うと言った方法もあって、どの計画にも遅効性分割型ウイルスが成功の要だと言う部分は共通しています。でもそこで、ある一つの疑問が残ったんです。実はナナオが実際に起こした総監暗殺は、シミュレーションの中にないんです。他にいくつも周到な計画を準備していながら、直前になって突然総監暗殺に切り替えたのは何故なのか・・・
クロマ,よく調べたわね。
ベ,これしかやっていませんから、僕・・・
J,でも何でだよ。もしかしてナナオ・Aも、犯行予告に影響を受けた単なる模倣犯だって言いたいの？
ベ,そう考えないと、綿密に練り上げた計画を投げ出して迄、プランに無い暗殺計画で切り札を使った理由が説明出来ないんです。
ぐ,じゃあ、総監暗殺を予告したのは誰よ？あんた深読みし過ぎだよ。もっと実際の事象のみ解読しようよ。
カ,でも、あんなの見せられたら信憑性無い？その話。
ぐ,じゃ、逆に聞くけどさ。あの日多くの実行犯が出たにも関わらず、ナナオ以外に電脳型の犯行が一件も起こらなかったのは何でよ？
ベ,当日はナナオだけが犯行を起こす予定になっていたのかも。で、予め失敗するのも決められていた。そしてナナオこそが、6年前に世間を震撼させた笑い男事件の犯人となる。
カ,その筋書きを書いて得をするのって、誰？
ベ,それはやっぱり、警さっ・・・さっ・・・ささっ・・・ささささささささささささささ・・・
オ,おおう・・・？
J,おい・・・！
クロマ,貴方、随分と回りくどい説明してきたけど、かなりいい線迄辿りついてるんじゃない？
クロマ,あの時現場で、私の身代わり防壁が吹き飛ばされたのを見た？
ベ,え？あ、まさか・・・あの会場でSPを取り押さえてた、お姉さん・・・？
クロマ,どうなの！？
ベ,ええ、見てました。危ない防壁が張られてましたね。
クロマ,その断片とかって残ってる？
ベ,ええ・・・これです。
クロマ,ありがと。
ベ,いいえ。あ、じゃあ、僕も訊いていいですか。僕は初め、全ての黒幕は警察自身と思っていたんです。でも、あの攻性防壁は会場に張られていた警察の物とは明らかに違う・・・あんな防壁見た事ありません。やっぱりあれは、笑いおと
クロマ,しっ。断片のお礼に忠告しとくけど、あんまり知りすぎると、現実世界の肉体ごと消される事になるわよ。
J,おい、コネロスしちゃったのかよ？
ベ,あ、大丈夫です・・・すみませんが、今日はこの辺で失礼させて頂きます。
カ,何よ。まださっきの続きが
ベ,では、すみませんでした・・・
カ,あっ・・・
J,なんだよ。何だか急に冷めちゃった感じ。
ぐ,ま、どうせこんな所で熱くなったって、事件の真実には辿りつけないけどね。
カ,わかんないわよ。もしかしたら本物の笑い男が見ているかもしれないじゃない。
ぐ,そんな事思っちゃってる時点でもう駄目駄目だよ。とは言え、この事件ってやっぱり難し過ぎるよ。いずれ飽きるね。
カ,あたしは、腐りきった世の中から生まれた偶然が、何かの象徴として作り出してしまった現象が、笑い男なんじゃないかって思うな。
J,こんな風に踊らされてる僕等にしたって、既に模倣者だしな。
カ,ただ、事件の全てが現象だったとしても、ベビー・ルースが言った様に、最初の誘拐と6年経った今になって暗殺予告をしてみせた件にだけは、何か共通した物を感じなくもないわね。
クロマ,私はその二つの事件だけが、同一の才能を持った犯人によって引き起こされた物だと考えてる。他の物は規模の大小、その目的、犯行思想等にかかわらず、英雄の不在が作り出したコピーでしかないと。ただその切っ掛けを作った二つの事件の犯人も、オリジナルであるかどうかは疑わしいけどね。
オ,お姉さん、鋭い！
クロマ,強制転送か・・・何だ・・・？
オ,何で？今いい所なんだよ。もうちょっと繋がっててもいいでしょ？ああん、けち！
バトー,なんだけどよ、お前、どう思う？
草薙,ちっ、トレース出来なかったか・・・
バトー,おい・・・
草薙,えっ、何か言った？
バトー,もしかしてお前、今迄ずっと潜ってた・・・？あっぶねえなもう！
草薙,別にこの辺りの運転なら、居眠りしながらでも出来るわよ。で何？
バトー,いいよもう・・・二度と言わねえ。
草薙,オリジナルなき模倣者達の作り出した現象・・・そこに繋がらないピースが二つ・・・
バトー,なんだ？それ。
草薙,別に。
バトー,うっ・・・！
バトー,失礼、公安9課だ。連絡受けてるだろ？
バトー,くっ・・・！
トグサ,うっ・・・！
草薙,バトー、どう？
バトー,腐敗が酷い。ベテランの観察官でも初見で判断出来んだろ。
草薙,違うわ。貴方がどう思ったか聞いてるのよ。
バトー,当たり、だな。
イシカワ,ぬぅ、きついな。
草薙,だからモニターで見る事勧めたでしょ？
草薙,バトー、もういいわ。トグサ続けて。
トグサ,この2ヶ月の間に市内で発生している5件の殺人事件。今日の一家四人を入れると6件、計1二人。いずれも被害者は上半身の皮膚をTシャツの形に剥がされると言う共通点が見られました。
草薙,検死の結果では生きたまま皮を剥がされてそのまま放置されていた可能性が高いそうね。
パズ,いかれてやがる。
ボーマ,県警のプロファイラーは何と？
トグサ,まだ、何も。
イシカワ,アナーキストによるテロ行為や新興宗教による儀式等の可能性は？
バトー,いや、政治的宗教的な組織犯罪の可能性なんかない。
ボーマ,ん？なら性犯罪の前歴者リストから
バトー,犯人の性癖も問題じゃない。奴はこの犯行でこれっぽっちの快楽も得ちゃいない。
トグサ,何で断言出来るんだよ。
バトー,そこに何かあるとすればそれは・・・義務感だ。
トグサ,そんな連続殺人あるかよ・・・
草薙,あたし達が呼ばれたからには何かあるんでしょ？課長
荒巻,マルコ・アモレッティ。元米帝海軍軍曹。米帝から提供された情報によると今回の星はこの男の可能性が極めて高い。国防省の資料では大戦中に各地の戦線を転々とし数々の戦績を残したが、2028年3月に依願と言う形で除隊している。その後は行方不明。
草薙,この男が星だって言う根拠は？
荒巻,非常に良く似たケースに関わった前歴があるそうだ。
草薙,よく似たケース？
荒巻,ああ。
トグサ,課長、そいつの事をそこ迄分かってるんだったらもう手配はしたんでしょ？
荒巻,まだだ。外務省を経由してCIAから今回の殺人犯の極秘逮捕及び無条件引渡しの要請が今日あったばかりだ。
バトー,ちっ。
トグサ,待ってください。それって立派な内政干渉ですよ！大体、何で俺達がCIAの尻拭いなんか・・・
サトウ,ま、そこを何とかお願いしますよ。
荒巻,紹介しよう。米帝から来た
サトウ,CIAのサトウ・スズキです。
ワタナベ,ワタナベ・タナカです。
サトウ,どうも、どうも。
ワタナベ,どうも、どうも。
マルコ,これを敵地にばら撒け。今度のは最高きついぞー。
トグサ,発見される迄、鳥に突かれてたそうだ。地面には争った形跡が有り。一応県警が表土を削って持ち帰ったけど犯人追跡に繋がる手掛かりは無し。
サトウ,成る程ー。
トグサ,ここは来月から工事が始まるってさ。現場が無くなっちまうな。
バトー,そんなに長い間野放しにしやしねえ。
サトウ,鶴見台、鶴が居るのかねえ？
トグサ,鶴なんかもう居ない。カラスばっかりさ。
トグサ,旦那、聞いていいかな？今回の件何か隠してる事があるんじゃないの？
サトウ,ほぅ、それは私も興味有りますねえ。
バトー,いいか、俺が奴を見つけた時が奴とこの世の永遠の別れになる。覚えとけ。
サトウ,芝居がかってるねえ。はっはっはっはっはっは・・・
草薙,バトー、バトー？大丈夫？
バトー,ああ、何でもねえ。おい！人の頭ん中勝手に覗くんじゃねえよ！
トグサ,今日はらしくないぜ。熱でもあるんじゃねえの？まあ旦那には縁のない話だろうけど。
草薙,トグサ、これは暗号通信よ。そのまま黙って聞いて。この件で動いている間もしバトーが暴走する様な事があったら貴方が食い止めて。
トグサ,まずっ！冷めた缶コーヒー程目が覚めるもんは無いなあ。
トグサ,何かあるんですかね？バトーと星の間に。
草薙,分からないわ。でもいつもの精神状態では無さそうね。
トグサ,確かに。分かりました。出来るだけやってみます。
トグサ,ぬああ、カフェイン要らず。
バトー,まずけりゃ黙って予習でもしてろ。
草薙,頼んだわよ。
トグサ,了解。
警察幹部A,その件は了承します。我々は捜査から手を引く。検察との交渉はそちらでお願いします。
荒巻,無論だ。
警察幹部B,だが、CIAが星を押さえるとなると本件は迷宮入りになる訳だ。んー、あとは現場をどう納得させるか・・・
荒巻,すまんがそれも仕事の内だ。
ワタナベ,なんとか一つ宜しくお願いします。
警察幹部A,あ、こりゃどうも。
ワタナベ,どうぞ宜しく。
警察幹部B,ああ、私には名刺の持ち合わせが・・・
荒巻,少佐、イシカワと、こいつの裏にある壁を叩いてみろ。
草薙,了解。
警察幹部B,ワタナベ・タナカ・・・さん・・・？
ワタナベ,ん？
警察幹部A,何だ？
警察官,部長、至急捜査本部へお出でください。
警察幹部A,会議中だ。
警察官,犯行現場を直に記録した映像が発見されました。
警察幹部A,なに！何処で？
警察官,あの、それがニューポートアキバにあるラジオ通りのビデオショップで売られていました。
草薙,パズ、ボーマ、至急電気街へ。ビデオ店店主から事情聴取。
荒巻,IRシステムに潜って記録を洗ってみろ。
草薙,了解。課長
荒巻,うむ、気付いたか。
草薙,ワタナベは予想していたようね。
タチコマ,うおーー、うっひょっひょー。楽しそうな場所ー。経験値が上がりそうなけ・は・い。
草薙,寄り道している暇は無いぞ。
タチコマ,あぃ？
草薙,パズは周辺の店を当たれ。ボーマは店主から事情聴取。映像の入手経路を辿れ。
パズ,了解。
草薙,昨日からの客の映像を全てピックアップ。
9課オペレーター,了解。
イシカワ,少佐、なんとかなりませんかね？これじゃ碌に裏口のノックも出来やしない。
草薙,見張ってるつもりなんでしょ。
イシカワ,信用されてませんねえ。
草薙,だから裏口をノックしてみるのよ。何かある筈。
草薙,ワタナベさん、所轄が押収した映像が届いた様です。ご覧になりますか？
ワタナベ,ええ、そうしましょう。
草薙,ではあちらのブースへ。
ワタナベ,ああ、あちらですか。
草薙,後まかせた。
イシカワ,さてと。
女,はあ、はあ、ああぁ・・・
女,あ、あ゛ー！あ゛ー！
トグサ,くっ・・・ちっくしょう。なんだって態々こんなデータをばら撒いてやがんだ奴は！
バトー,奴にとってそれこそが目的だからさ。そうだろ？サトウさん。
サトウ,何の事かな？
バトー,俺は9課にくる以前レンジャーにいた事があってな。南米のジャングルにも潜った経験がある。
サトウ,ほおう。で、その事とこのデータと何のつながりが？
バトー,しらばっくれるな！あれはお前等米帝が撤退した後もずっと続いてたんだぞ！そして今またあの悪夢が俺の前に姿を現しやがった！
トグサ,悪夢？
草薙,これは？
ワタナベ,恐らく犯人の視覚情報を被害者に流すのでしょう。
草薙,被害者は自分が生きながらに生皮を剥がされていく様子を見せられていた、と？
ワタナベ,の、ようで。
草薙,酷いな。
音声,う・・・ぐうぅ・・・
ワタナベ,どうやら6件分全部ありそうですねえ。
草薙,イシカワ、何か出た？
イシカワ,ああ、流石CIA。壁は堅かったがフォートプラグにいくつか記録が残っていた。CIAのファイルではマルコについて精神分析によるかなりの数の報告書が存在してるな。
草薙,その中にもっと突っ込んだ情報は無い？
イシカワ,ああ、待て待て。何だこのファイル・・・サンセット計画！？
バトー,サンセット計画・・・知らないって言うなら教えてやろう。先の大戦中敵国の戦意を喪失させる為にCIAが考案した作戦行動で、工作員を深く敵地に潜り込ませ現地の人間と親しくなった上で女や子供を出来るだけ残酷な方法で殺すゲリラ戦のコードネームだ。
トグサ,そんなモンが作戦だって！？ふざけてやがる・・・！
サトウ,その様な計画等存在しない。それが我が国の公式見解だ。
バトー,噂ではこの任務に就いた者は精神を病んでしまったケースが多いと言われている。
トグサ,何故そんな奴がこの街に？
サトウ,そんな事は誰にも分からん。心理アナリストの星占いな報告書でも見るさ。
バトー,俺は分かる。奴の戦争はまだ終わっちゃいないんだ。そして、この俺もな。
草薙,話には聞いてたけど、本当に存在していたのね。でも戦意喪失が目的なら他人の死に無関心なこの国にいる限り、マルコの犯行は止まらない。
ボーマ,少佐。マルコはラジオ通り近くの公園に住む浮浪者達を経由して殺人映像を売りまくっていたようです。今押収したばかりの7件目のファイルを送ります。
トグサ,7件目だって！？次の犠牲者が出ちまったのか・・・
バトー,こっちの端末にもすぐ送れ！
女,お願い・・・やめて・・・いや！ああぁ゛ー！
バトー、トグサ,ぐっ・・・！
バトー,ええぃ、くそっ！今度は被害者の視覚情報か！
バトー,ボーマ、元のファイルに記録日時は付いてるか？
ボーマ,昨日の夜だ。
バトー,声紋検索で被害者の住所を割り出せ。まだ生きてる可能性がある。
トグサ,生きてるのが気の毒って位だな。
サトウ,今は皮膚の再生技術が進んでいる。完全に元通りとはいかないが。
バトー,このっ・・・これで満足か！お前等の作り出した怪物は立派に任務を遂行中だ！
サトウ,だからこうして回収に来た。
バトー,回収だと！？この野郎！
トグサ,よせ！今こいつを締めても意味無いだろ！
バトー,くそっ！今度は逃がしゃしねえ！確実に奴の息の根を止めてやる！
トグサ,今度！？
サトウ,そうか・・・君が処理してくれていたら我々も出向く必要はなかった。
トグサ,二人とも、何の話だ！？おい。
バトー,何処だ・・・奴は何処に身を潜めてる？
サトウ,私に何か助言を求めてはどうかな？その為に私もこうして一緒に現場を回っているつもりだが？
バトー,てめえが何を言えるってんだ！
トグサ,待てよ！どういう意味だ？
サトウ,この下には下水が流れているのじゃないかね？
トグサ,下水っていうか、暗渠だな。
バトー,暗渠？
トグサ,ああ、覆いをした河さ。あ、そういや奴が浮浪者にデータを渡していた公園の下にも暗渠が通ってる。
トグサ,河の流れと符合している。
バトー,奴は河を遡って犯行を犯し、それを広める為に下流の街に戻っていたのか。
トグサ,って事は奴は・・・
バトー,俺達の足の下だ！てめえはそこで待ってろ！後で死体袋を渡してやる！
サトウ,おー、ふん。
バトー,マルコが地下水路を移動しているとしたらそこをねぐらに使っている可能性が高い。ボーマ達をそのまま地下水路に向かわせてくれ。挟み撃ちにして奴を捕らえる。
草薙,バトー、その言葉信じていいんでしょうね・・・？バトー！？
タチコマ,うー、凄い湿気。光学迷彩の視認値が上がっちゃうねえ。
タチコマ,パッキンが腐食しないかな？
